Time,OriginalAcc,LowNoiseDis10,LowNoiseDis20,HighNoiseDis10,HighNoiseDis20
5.00E-03,1.38E-02,507,406,88,101
1.00E-02,1.05E-01,553,442,615,703
1.50E-02,-4.42E-02,478,382,82,94
2.00E-02,-5.37E-01,231,185,-909,-1039
2.50E-02,-4.80E-01,260,208,-670,-766
3.00E-02,-3.91E-01,304,243,679,776
3.50E-02,-5.06E-02,475,380,1412,1614
4.00E-02,-1.91E-01,405,324,643,735
4.50E-02,-1.12E-01,444,355,679,776
5.00E-02,1.04E-01,552,442,609,696
5.50E-02,1.21E+00,1105,884,1012,1156
6.00E-02,9.51E-02,548,438,1237,1414
6.50E-02,7.68E-01,884,707,767,876
7.00E-02,4.45E-01,723,578,1547,1767
7.50E-02,-1.30E-01,435,348,773,884
8.00E-02,-3.00E-02,485,388,622,711
8.50E-02,-8.18E-02,459,367,567,647
9.00E-02,1.02E+00,1009,807,665,760
9.50E-02,-3.02E-02,485,388,426,487
1.00E-01,-1.96E+00,-479,-383,364,416
1.05E-01,-2.30E+00,-649,-519,324,370
1.10E-01,-8.83E-01,59,47,669,765
1.15E-01,-1.22E-01,439,351,774,884
1.20E-01,-8.74E-01,63,50,710,811
1.25E-01,-8.13E-01,93,75,644,736
1.30E-01,3.38E-01,669,535,781,892
1.35E-01,5.38E-01,769,615,691,790
1.40E-01,4.32E-01,716,573,670,766
1.45E-01,1.21E+00,1107,886,723,827
1.50E-01,-2.99E-01,351,280,815,932
1.55E-01,-1.07E+00,-35,-28,495,566
1.60E-01,6.35E-01,818,654,400,457
1.65E-01,1.49E+00,1247,998,417,476
1.70E-01,8.33E-01,917,733,655,749
1.75E-01,-2.24E-02,489,391,589,674
1.80E-01,-1.14E-01,443,354,317,362
1.85E-01,-1.19E+00,-97,-78,325,372
1.90E-01,-8.87E-01,56,45,528,603
1.95E-01,1.69E-02,508,407,264,301
2.00E-01,-8.06E-02,460,368,102,116
2.05E-01,-8.37E-02,458,367,236,270
2.10E-01,3.67E-01,683,547,707,808
2.15E-01,5.92E-02,530,424,807,923
2.20E-01,1.54E-01,577,461,724,828
2.25E-01,7.77E-01,889,711,524,599
2.30E-01,4.00E-01,700,560,488,557
2.35E-01,-1.35E+00,-175,-140,456,521
2.40E-01,-8.85E-01,58,46,326,373
2.45E-01,-1.57E-01,421,337,345,394
2.50E-01,7.41E-01,870,696,418,477
2.55E-01,1.77E-01,589,471,416,475
2.60E-01,7.68E-02,538,431,330,378
2.65E-01,-9.99E-02,450,360,290,331
2.70E-01,-4.10E-01,295,236,339,387
2.75E-01,-9.16E-01,42,34,326,373
2.80E-01,-6.69E-01,165,132,286,327
2.85E-01,8.04E-01,902,722,510,583
2.90E-01,1.03E+00,1015,812,667,763
2.95E-01,6.91E-01,846,676,695,795
3.00E-01,-3.13E-01,343,275,482,551
3.05E-01,3.44E-01,672,538,412,471
3.10E-01,5.51E-01,775,620,482,551
3.15E-01,1.25E-01,562,450,427,488
3.20E-01,-5.88E-01,206,165,154,176
3.25E-01,-3.08E-01,346,277,54,62
3.30E-01,-5.22E-02,474,379,54,62
3.35E-01,5.35E-01,768,614,359,410
3.40E-01,4.01E-01,701,560,542,620
3.45E-01,-2.81E-01,360,288,438,500
3.50E-01,-5.64E-01,218,174,295,337
3.55E-01,-5.30E-01,235,188,453,518
3.60E-01,-2.22E-02,489,391,519,593
3.65E-01,1.97E-01,598,479,920,1051
3.70E-01,-3.08E-01,346,277,1280,1463
3.75E-01,-1.02E-01,449,359,1574,1799
3.80E-01,-4.79E-01,260,208,1548,1770
3.85E-01,-1.60E-01,420,336,1391,1590
3.90E-01,2.15E-01,607,486,1331,1521
3.95E-01,4.43E-01,722,577,1474,1685
4.00E-01,-2.21E-01,390,312,1538,1758
4.05E-01,-5.92E-01,204,163,345,394
4.10E-01,-2.42E-01,379,303,1459,1668
4.15E-01,3.36E-01,668,534,29,34
4.20E-01,2.60E-01,630,504,232,265
4.25E-01,8.34E-02,542,433,1174,1342
4.30E-01,-5.13E-01,243,195,326,372
4.35E-01,-6.05E-01,198,158,1229,1405
4.40E-01,-4.98E-01,251,201,-505,-577
4.45E-01,-4.80E-01,260,208,-1268,-1449
4.50E-01,-1.39E-01,430,344,-141,-161
4.55E-01,1.65E-01,583,466,19,22
4.60E-01,3.02E-01,651,521,-183,-209
4.65E-01,5.23E-02,526,421,420,480
4.70E-01,1.44E-01,572,457,629,719
4.75E-01,1.50E-01,575,460,853,974
4.80E-01,3.49E-04,500,400,1317,1505
4.85E-01,-4.93E-01,254,203,1515,1732
4.90E-01,-2.37E-01,381,305,1965,2246
4.95E-01,1.16E-04,500,400,1903,2175
5.00E-01,2.50E-01,625,500,1562,1786
5.05E-01,3.00E-03,502,401,727,831
5.10E-01,-2.04E-01,398,318,951,1087
5.15E-01,-1.65E-01,418,334,1337,1528
5.20E-01,3.32E-02,517,413,604,690
5.25E-01,-1.71E-01,415,332,1401,1601
5.30E-01,-3.11E-01,345,276,808,924
5.35E-01,-4.72E-01,264,211,-634,-725
5.40E-01,1.24E-01,562,450,-2026,-2315
5.45E-01,5.11E-02,526,420,1936,2212
5.50E-01,-1.71E-01,414,332,1486,1699
5.55E-01,-7.08E-02,465,372,2484,2838
5.60E-01,-2.35E-01,382,306,1393,1592
5.65E-01,-3.42E-01,329,263,404,462
5.70E-01,-3.09E-01,346,277,99,114
5.75E-01,-1.33E-02,493,395,673,769
5.80E-01,1.78E-01,589,471,1284,1468
5.85E-01,1.24E-01,562,449,747,854
5.90E-01,1.78E-01,589,471,255,292
5.95E-01,5.33E-02,527,421,-216,-247
6.00E-01,5.63E-02,528,423,151,172
6.05E-01,2.58E-02,513,410,402,460
6.10E-01,1.66E-02,508,407,-972,-1111
6.15E-01,3.73E-01,686,549,1221,1395
6.20E-01,5.80E-01,790,632,1204,1376
6.25E-01,3.85E-01,692,554,1116,1276
6.30E-01,-2.30E-01,385,308,931,1064
6.35E-01,-1.63E+00,-315,-252,829,947
6.40E-01,-9.15E-01,42,34,714,816
6.45E-01,-3.98E-01,301,241,439,502
6.50E-01,-4.53E-01,274,219,420,480
6.55E-01,-1.08E+00,-38,-31,578,660
6.60E-01,-2.52E-01,374,299,705,806
6.65E-01,1.32E+00,1159,927,667,762
6.70E-01,1.28E+00,1141,913,569,651
6.75E-01,4.39E-01,719,575,601,687
6.80E-01,-5.08E-01,246,197,644,736
6.85E-01,-4.56E-01,272,217,712,814
6.90E-01,1.83E-01,591,473,759,868
6.95E-01,2.25E-01,613,490,808,924
7.00E-01,-1.01E+00,-5,-4,780,892
7.05E-01,-1.71E-01,415,332,570,651
7.10E-01,-9.76E-02,451,361,348,398
7.15E-01,-5.51E-02,472,378,421,481
7.20E-01,1.18E+00,1092,874,485,554
7.25E-01,2.47E+00,1734,1387,397,454
7.30E-01,1.03E+00,1013,810,150,172
7.35E-01,-2.13E+00,-563,-450,218,250
7.40E-01,-1.56E+00,-280,-224,436,498
7.45E-01,3.83E-01,691,553,547,625
7.50E-01,2.57E+00,1786,1429,483,552
7.55E-01,1.24E+00,1118,894,734,839
7.60E-01,1.92E+00,1460,1168,843,963
7.65E-01,-7.96E-01,102,82,830,949
7.70E-01,-3.94E-01,303,242,592,676
